freq_hz,rx_volts,ref_volts,rx_peak_counts
35980.22,2.766000e-03,6.649000e-03,49
36254.88,3.675000e-03,6.655000e-03,50
36483.76,4.683000e-03,6.658000e-03,52
36758.42,6.456000e-03,6.660000e-03,52
36987.30,8.612000e-03,6.668000e-03,53
37261.96,1.201300e-02,6.667000e-03,56
37490.84,1.596100e-02,6.644000e-03,60
37765.50,2.205600e-02,6.624000e-03,63
37994.38,2.918900e-02,6.596000e-03,68
38269.04,4.073000e-02,6.532000e-03,74
38497.92,5.482600e-02,6.558000e-03,84
38772.58,7.421300e-02,6.692000e-03,97
39001.46,9.853400e-02,6.909000e-03,112
39230.35,1.312210e-01,6.978000e-03,134
39505.00,2.043620e-01,6.549000e-03,180
39733.89,2.861990e-01,5.327000e-03,234
40008.54,4.487450e-01,4.255000e-03,340
40237.43,7.056960e-01,7.052000e-03,511
40512.08,1.162941e+00,1.247200e-02,811
40740.97,1.387723e+00,1.021500e-02,959
41015.62,1.089057e+00,9.380000e-04,762
41244.51,7.061980e-01,6.748000e-03,510
41519.17,3.650460e-01,8.180000e-03,286
41748.05,2.051880e-01,7.432000e-03,181
42022.71,1.071640e-01,6.806000e-03,117
42251.59,7.965200e-02,6.652000e-03,98
42480.47,5.975200e-02,6.594000e-03,85
42755.13,4.340200e-02,6.605000e-03,73
42984.01,3.434300e-02,6.604000e-03,68
43258.67,2.740900e-02,6.627000e-03,63
43487.55,2.224500e-02,6.664000e-03,60
43762.21,1.683600e-02,6.697000e-03,55
43991.09,1.361500e-02,6.721000e-03,54
